# 目標酒造清單 (target breweries)
#
# 格式: 銘柄日文名 | 酒造日文名 | 都道府縣
# 註解行以 # 開頭
#
# 此清單為精選的 ~150 家代表性酒造,涵蓋:
# - 國際知名品牌 (獺祭、十四代等)
# - 日本國內頂級評價 (SAKE COMPETITION / IWC 常勝軍)
# - 各地區代表性老舖
# - 在台灣市場較常見的進口酒款酒造
#
# 抓取腳本會用「銘柄日文名」與 Sakenowa API 的 brands 比對。
# 酒造名與都道府縣作為驗證用。
#
# ============================================
# 北海道
# ============================================
男山              | 男山              | 北海道
国士無双          | 高砂酒造          | 北海道
千歳鶴            | 日本清酒          | 北海道
上川大雪          | 上川大雪酒造      | 北海道
二世古            | 二世古酒造        | 北海道

# ============================================
# 東北 - 青森縣
# ============================================
田酒              | 西田酒造店        | 青森県
豊盃              | 三浦酒造          | 青森県
陸奥八仙          | 八戸酒造          | 青森県

# ============================================
# 東北 - 岩手縣
# ============================================
南部美人          | 南部美人          | 岩手県
あさ開            | あさ開            | 岩手県
赤武              | 赤武酒造          | 岩手県
浜千鳥            | 浜千鳥            | 岩手県

# ============================================
# 東北 - 宮城縣
# ============================================
浦霞              | 佐浦              | 宮城県
日高見            | 平孝酒造          | 宮城県
墨廼江            | 墨廼江酒造        | 宮城県
伯楽星            | 新澤醸造店        | 宮城県
勝山              | 仙台伊澤家勝山酒造 | 宮城県
一ノ蔵            | 一ノ蔵            | 宮城県

# ============================================
# 東北 - 秋田縣
# ============================================
新政              | 新政酒造          | 秋田県
NEXT5            | -                 | 秋田県
雪の茅舎          | 齋彌酒造店        | 秋田県
飛良泉            | 飛良泉本舗        | 秋田県
山本              | 山本酒造店        | 秋田県
まんさくの花      | 日の丸醸造        | 秋田県
高清水            | 秋田酒類製造      | 秋田県
刈穂              | 秋田清酒          | 秋田県
両関              | 両関酒造          | 秋田県

# ============================================
# 東北 - 山形縣
# ============================================
十四代            | 高木酒造          | 山形県
楯野川            | 楯の川酒造        | 山形県
出羽桜            | 出羽桜酒造        | 山形県
上喜元            | 酒田酒造          | 山形県
くどき上手        | 亀の井酒造        | 山形県
上喜元            | 酒田酒造          | 山形県
東光              | 小嶋総本店        | 山形県
